corrected_speed_ratio,normalized_corrected_flow,pressure_ratio,teaching_data_only
0.700,0.530000,2.960000,true
0.700,0.535610,2.951390,true
0.700,0.541220,2.942749,true
0.700,0.546829,2.934047,true
0.700,0.552439,2.925253,true
0.700,0.558049,2.916336,true
0.700,0.563659,2.907265,true
0.700,0.569268,2.898010,true
0.700,0.574878,2.888540,true
0.700,0.580488,2.878824,true
0.700,0.586098,2.868832,true
0.700,0.591707,2.858533,true
0.700,0.597317,2.847896,true
0.700,0.602927,2.836890,true
0.700,0.608537,2.825485,true
0.700,0.614146,2.813651,true
0.700,0.619756,2.801355,true
0.700,0.625366,2.788568,true
0.700,0.630976,2.775259,true
0.700,0.636585,2.761397,true
0.700,0.642195,2.746951,true
0.700,0.647805,2.731891,true
0.700,0.653415,2.716187,true
0.700,0.659024,2.699806,true
0.700,0.664634,2.682719,true
0.700,0.670244,2.664895,true
0.700,0.675854,2.646303,true
0.700,0.681463,2.626913,true
0.700,0.687073,2.606693,true
0.700,0.692683,2.585614,true
0.700,0.698293,2.563643,true
0.700,0.703902,2.540752,true
0.700,0.709512,2.516908,true
0.700,0.715122,2.492081,true
0.700,0.720732,2.466241,true
0.700,0.726341,2.439356,true
0.700,0.731951,2.411397,true
0.700,0.737561,2.382332,true
0.700,0.743171,2.352130,true
0.700,0.748780,2.320761,true
0.700,0.754390,2.288195,true
0.700,0.760000,2.254400,true
0.800,0.615714,3.560000,true
0.800,0.621672,3.548754,true
0.800,0.627631,3.537468,true
0.800,0.633589,3.526102,true
0.800,0.639547,3.514616,true
0.800,0.645505,3.502969,true
0.800,0.651463,3.491122,true
0.800,0.657422,3.479034,true
0.800,0.663380,3.466665,true
0.800,0.669338,3.453975,true
0.800,0.675296,3.440924,true
0.800,0.681254,3.427472,true
0.800,0.687213,3.413578,true
0.800,0.693171,3.399204,true
0.800,0.699129,3.384308,true
0.800,0.705087,3.368850,true
0.800,0.711045,3.352790,true
0.800,0.717003,3.336089,true
0.800,0.722962,3.318705,true
0.800,0.728920,3.300600,true
0.800,0.734878,3.281732,true
0.800,0.740836,3.262062,true
0.800,0.746794,3.241550,true
0.800,0.752753,3.220155,true
0.800,0.758711,3.197837,true
0.800,0.764669,3.174557,true
0.800,0.770627,3.150274,true
0.800,0.776585,3.124947,true
0.800,0.782544,3.098538,true
0.800,0.788502,3.071005,true
0.800,0.794460,3.042310,true
0.800,0.800418,3.012410,true
0.800,0.806376,2.981267,true
0.800,0.812334,2.948840,true
0.800,0.818293,2.915090,true
0.800,0.824251,2.879976,true
0.800,0.830209,2.843457,true
0.800,0.836167,2.805494,true
0.800,0.842125,2.766048,true
0.800,0.848084,2.725076,true
0.800,0.854042,2.682540,true
0.800,0.860000,2.638400,true
0.900,0.701429,4.240000,true
0.900,0.707735,4.225767,true
0.900,0.714042,4.211484,true
0.900,0.720348,4.197098,true
0.900,0.726655,4.182561,true
0.900,0.732962,4.167820,true
0.900,0.739268,4.152826,true
0.900,0.745575,4.137527,true
0.900,0.751882,4.121872,true
0.900,0.758188,4.105812,true
0.900,0.764495,4.089294,true
0.900,0.770801,4.072269,true
0.900,0.777108,4.054685,true
0.900,0.783415,4.036492,true
0.900,0.789721,4.017639,true
0.900,0.796028,3.998075,true
0.900,0.802334,3.977750,true
0.900,0.808641,3.956612,true
0.900,0.814948,3.934611,true
0.900,0.821254,3.911697,true
0.900,0.827561,3.887817,true
0.900,0.833868,3.862922,true
0.900,0.840174,3.836962,true
0.900,0.846481,3.809884,true
0.900,0.852787,3.781638,true
0.900,0.859094,3.752174,true
0.900,0.865401,3.721440,true
0.900,0.871707,3.689387,true
0.900,0.878014,3.655962,true
0.900,0.884321,3.621116,true
0.900,0.890627,3.584798,true
0.900,0.896934,3.546957,true
0.900,0.903240,3.507541,true
0.900,0.909547,3.466501,true
0.900,0.915854,3.423786,true
