time_s,fuel_demand_norm,accel_limit_norm,temperature_limit_norm,overspeed_limit_norm,scheduled_fuel_norm,rotor_speed_norm,surge_margin_percent,scope
0.000000,0.280000,0.500000,0.859971,0.940000,0.280000,0.300000,17.904759,deterministic teaching data; not a certified schedule
0.050000,0.280000,0.503750,0.859959,0.940000,0.280000,0.300000,17.879909,deterministic teaching data; not a certified schedule
0.100000,0.280000,0.507500,0.859943,0.940000,0.280000,0.300000,17.849621,deterministic teaching data; not a certified schedule
0.150000,0.280000,0.511250,0.859920,0.940000,0.280000,0.300000,17.812991,deterministic teaching data; not a certified schedule
0.200000,0.280000,0.515000,0.859890,0.940000,0.280000,0.300000,17.769044,deterministic teaching data; not a certified schedule
0.250000,0.280000,0.518750,0.859849,0.940000,0.280000,0.300000,17.716736,deterministic teaching data; not a certified schedule
0.300000,0.280000,0.522500,0.859795,0.940000,0.280000,0.300000,17.654977,deterministic teaching data; not a certified schedule
0.350000,0.280000,0.526250,0.859723,0.940000,0.280000,0.300000,17.582651,deterministic teaching data; not a certified schedule
0.400000,0.280000,0.530000,0.859631,0.940000,0.280000,0.300000,17.498645,deterministic teaching data; not a certified schedule
0.450000,0.280000,0.533750,0.859511,0.940000,0.280000,0.300000,17.401884,deterministic teaching data; not a certified schedule
0.500000,0.280000,0.537500,0.859359,0.940000,0.280000,0.300000,17.291369,deterministic teaching data; not a certified schedule
0.550000,0.333878,0.541250,0.859167,0.940000,0.333878,0.300000,17.166225,deterministic teaching data; not a certified schedule
0.600000,0.383073,0.545000,0.858927,0.940000,0.383073,0.327230,17.025745,deterministic teaching data; not a certified schedule
0.650000,0.427994,0.548750,0.858629,0.940000,0.427994,0.353301,16.869447,deterministic teaching data; not a certified schedule
0.700000,0.469011,0.552500,0.858265,0.940000,0.469011,0.378263,16.697122,deterministic teaching data; not a certified schedule
0.750000,0.506463,0.556250,0.857824,0.940000,0.506463,0.402163,16.508886,deterministic teaching data; not a certified schedule
0.800000,0.540661,0.560000,0.857294,0.940000,0.540661,0.425046,16.305223,deterministic teaching data; not a certified schedule
0.850000,0.571888,0.563750,0.856666,0.940000,0.563750,0.446956,16.087027,deterministic teaching data; not a certified schedule
0.900000,0.600400,0.567500,0.855928,0.940000,0.567500,0.467933,15.855631,deterministic teaching data; not a certified schedule
0.950000,0.626435,0.571250,0.855070,0.940000,0.571250,0.488018,15.612822,deterministic teaching data; not a certified schedule
1.000000,0.650208,0.575000,0.854085,0.940000,0.575000,0.507248,15.360847,deterministic teaching data; not a certified schedule
1.050000,0.671915,0.578750,0.852965,0.940000,0.578750,0.525661,15.102398,deterministic teaching data; not a certified schedule
1.100000,0.691735,0.582500,0.851708,0.940000,0.582500,0.543289,14.840579,deterministic teaching data; not a certified schedule
1.150000,0.709833,0.586250,0.850312,0.940000,0.586250,0.560168,14.578861,deterministic teaching data; not a certified schedule
1.200000,0.726359,0.590000,0.848781,0.940000,0.590000,0.576329,14.321011,deterministic teaching data; not a certified schedule
1.250000,0.741448,0.593750,0.847124,0.940000,0.593750,0.591802,14.071012,deterministic teaching data; not a certified schedule
1.300000,0.755226,0.597500,0.845353,0.940000,0.597500,0.606616,13.832963,deterministic teaching data; not a certified schedule
1.350000,0.767807,0.601250,0.843486,0.940000,0.601250,0.620801,13.610969,deterministic teaching data; not a certified schedule
1.400000,0.779294,0.605000,0.841545,0.940000,0.605000,0.634381,13.409031,deterministic teaching data; not a certified schedule
1.450000,0.789783,0.608750,0.839558,0.940000,0.608750,0.647384,13.230920,deterministic teaching data; not a certified schedule
1.500000,0.799361,0.612500,0.837559,0.940000,0.612500,0.659834,13.080065,deterministic teaching data; not a certified schedule
1.550000,0.808107,0.616250,0.835581,0.940000,0.616250,0.671754,12.959442,deterministic teaching data; not a certified schedule
1.600000,0.816092,0.620000,0.833665,0.940000,0.620000,0.683167,12.871477,deterministic teaching data; not a certified schedule
1.650000,0.823384,0.623750,0.831849,0.940000,0.623750,0.694095,12.817962,deterministic teaching data; not a certified schedule
1.700000,0.830042,0.627500,0.830175,0.940000,0.627500,0.704557,12.800000,deterministic teaching data; not a certified schedule
1.750000,0.836121,0.631250,0.828681,0.940000,0.631250,0.714574,12.817962,deterministic teaching data; not a certified schedule
1.800000,0.841672,0.635000,0.827402,0.940000,0.635000,0.724166,12.871477,deterministic teaching data; not a certified schedule
1.850000,0.846741,0.638750,0.826372,0.940000,0.638750,0.733349,12.959442,deterministic teaching data; not a certified schedule
1.900000,0.851369,0.642500,0.825617,0.940000,0.642500,0.742141,13.080065,deterministic teaching data; not a certified schedule
1.950000,0.855595,0.646250,0.825155,0.940000,0.646250,0.750559,13.230920,deterministic teaching data; not a certified schedule
2.000000,0.859454,0.650000,0.825000,0.940000,0.650000,0.758619,13.409031,deterministic teaching data; not a certified schedule
2.050000,0.862977,0.653750,0.825155,0.940000,0.653750,0.766336,13.610969,deterministic teaching data; not a certified schedule
2.100000,0.866194,0.657500,0.825617,0.940000,0.657500,0.773725,13.832963,deterministic teaching data; not a certified schedule
2.150000,0.869132,0.661250,0.826372,0.940000,0.661250,0.780800,14.071012,deterministic teaching data; not a certified schedule
2.200000,0.871814,0.665000,0.827402,0.940000,0.665000,0.787573,14.321011,deterministic teaching data; not a certified schedule
2.250000,0.874264,0.668750,0.828681,0.940000,0.668750,0.794058,14.578861,deterministic teaching data; not a certified schedule
2.300000,0.876500,0.672500,0.830175,0.940000,0.672500,0.800268,14.840579,deterministic teaching data; not a certified schedule
2.350000,0.878542,0.676250,0.831849,0.940000,0.676250,0.806213,15.102398,deterministic teaching data; not a certified schedule
2.400000,0.880407,0.680000,0.833665,0.940000,0.680000,0.811905,15.360847,deterministic teaching data; not a certified schedule
2.450000,0.882110,0.683750,0.835581,0.940000,0.683750,0.817355,15.612822,deterministic teaching data; not a certified schedule
2.500000,0.883664,0.687500,0.837559,0.940000,0.687500,0.822573,15.855631,deterministic teaching data; not a certified schedule
2.550000,0.885084,0.691250,0.839558,0.940000,0.691250,0.827569,16.087027,deterministic teaching data; not a certified schedule
2.600000,0.886380,0.695000,0.841545,0.940000,0.695000,0.832353,16.305223,deterministic teaching data; not a certified schedule
2.650000,0.887564,0.698750,0.843486,0.940000,0.698750,0.836933,16.508886,deterministic teaching data; not a certified schedule
2.700000,0.888644,0.702500,0.845353,0.940000,0.702500,0.841318,16.697122,deterministic teaching data; not a certified schedule
2.750000,0.889631,0.706250,0.847124,0.940000,0.706250,0.845517,16.869447,deterministic teaching data; not a certified schedule
2.800000,0.890532,0.710000,0.848781,0.940000,0.710000,0.849537,17.025745,deterministic teaching data; not a certified schedule
2.850000,0.891355,0.713750,0.850312,0.940000,0.713750,0.853385,17.166225,deterministic teaching data; not a certified schedule
2.900000,0.892106,0.717500,0.851708,0.940000,0.717500,0.857071,17.291369,deterministic teaching data; not a certified schedule
2.950000,0.892792,0.721250,0.852965,0.940000,0.721250,0.860599,17.401884,deterministic teaching data; not a certified schedule
3.000000,0.893418,0.725000,0.854085,0.940000,0.725000,0.863977,17.498645,deterministic teaching data; not a certified schedule
3.050000,0.893990,0.728750,0.855070,0.940000,0.728750,0.867212,17.582651,deterministic teaching data; not a certified schedule
3.100000,0.894513,0.732500,0.855928,0.940000,0.732500,0.870309,17.654977,deterministic teaching data; not a certified schedule
3.150000,0.894989,0.736250,0.856666,0.940000,0.736250,0.873274,17.716736,deterministic teaching data; not a certified schedule
3.200000,0.895425,0.740000,0.857294,0.940000,0.740000,0.876113,17.769044,deterministic teaching data; not a certified schedule
3.250000,0.895822,0.743750,0.857824,0.940000,0.743750,0.878831,17.812991,deterministic teaching data; not a certified schedule
3.300000,0.896185,0.747500,0.858265,0.940000,0.747500,0.881433,17.849621,deterministic teaching data; not a certified schedule
3.350000,0.896517,0.751250,0.858629,0.940000,0.751250,0.883925,17.879909,deterministic teaching data; not a certified schedule
3.400000,0.896820,0.755000,0.858927,0.940000,0.755000,0.886311,17.904759,deterministic teaching data; not a certified schedule
3.450000,0.897096,0.758750,0.859167,0.940000,0.758750,0.888595,17.924987,deterministic teaching data; not a certified schedule
3.500000,0.897348,0.762500,0.859359,0.940000,0.762500,0.890782,17.941327,deterministic teaching data; not a certified schedule
3.550000,0.897579,0.766250,0.859511,0.940000,0.766250,0.892876,17.954424,deterministic teaching data; not a certified schedule
3.600000,0.897789,0.770000,0.859631,0.940000,0.770000,0.894881,17.964841,deterministic teaching data; not a certified schedule
3.650000,0.897981,0.773750,0.859723,0.940000,0.773750,0.896801,17.973065,deterministic teaching data; not a certified schedule
3.700000,0.898157,0.777500,0.859795,0.940000,0.777500,0.898639,17.979507,deterministic teaching data; not a certified schedule
